Time,object,time in min,time spent
0.0,1.0,0.0,0.0
7.0,2.0,0.11666666666666667,7.0
18.0,3.0,0.3,18.0
20.0,4.0,0.3333333333333333,20.0
53.0,5.0,0.8833333333333333,53.0
98.0,6.0,1.6333333333333333,98.0
117.0,7.0,1.95,117.0
140.0,8.0,2.3333333333333335,140.0
171.0,9.0,2.85,171.0
217.0,10.0,3.6166666666666667,217.0
243.0,11.0,4.05,243.0
266.0,12.0,4.433333333333334,266.0
600.0,13.0,10.0,0.0
602.0,14.0,10.033333333333333,2.0
608.0,15.0,10.133333333333333,8.0
644.0,16.0,10.733333333333333,44.0
645.0,17.0,10.75,45.0
697.0,18.0,11.616666666666667,97.0
710.0,19.0,11.833333333333334,110.0
764.0,20.0,12.733333333333333,164.0
783.0,21.0,13.05,183.0
866.0,22.0,14.433333333333334,266.0
943.0,23.0,15.716666666666667,343.0
990.0,24.0,16.5,390.0
1200.0,25.0,20.0,0.0
1211.0,26.0,20.183333333333334,11.0
1247.0,27.0,20.783333333333335,47.0
1293.0,28.0,21.55,93.0
1298.0,29.0,21.633333333333333,98.0
1324.0,30.0,22.066666666666666,124.0
1552.0,31.0,25.866666666666667,352.0
1578.0,32.0,26.3,378.0
1621.0,33.0,27.016666666666666,421.0
1659.0,34.0,27.65,459.0
1792.0,35.0,29.866666666666667,592.0
1824.0,36.0,30.4,624.0
1860.0,37.0,31.0,60.0
1886.0,38.0,31.433333333333334,86.0
1946.0,39.0,32.43333333333333,146.0
1992.0,40.0,33.2,192.0
2018.0,41.0,33.63333333333333,218.0
2097.0,42.0,34.95,297.0
2133.0,43.0,35.55,333.0
2201.0,44.0,36.68333333333333,401.0
2261.0,45.0,37.68333333333333,461.0
2281.0,46.0,38.016666666666666,481.0
2479.0,47.0,41.31666666666667,679.0
2480.0,48.0,41.333333333333336,680.0
2516.0,49.0,41.93333333333333,116.0
2637.0,50.0,43.95,237.0
2676.0,51.0,44.6,276.0
2687.0,52.0,44.78333333333333,287.0
2887.0,53.0,48.11666666666667,487.0
2937.0,54.0,48.95,537.0
3077.0,55.0,51.28333333333333,677.0
3079.0,56.0,51.31666666666667,679.0
3155.0,57.0,52.583333333333336,755.0
3309.0,58.0,55.15,909.0
3356.0,59.0,55.93333333333333,956.0
3390.0,60.0,56.5,990.0
3437.0,61.0,57.28333333333333,437.0
3464.0,62.0,57.733333333333334,464.0
3685.0,63.0,61.416666666666664,685.0
3712.0,64.0,61.86666666666667,712.0
3811.0,65.0,63.516666666666666,811.0
3853.0,66.0,64.21666666666667,853.0
3988.0,67.0,66.46666666666667,988.0
4024.0,68.0,67.06666666666666,1024.0
4171.0,69.0,69.51666666666667,1171.0
4196.0,70.0,69.93333333333334,1196.0
4209.0,71.0,70.15,1209.0
4242.0,72.0,70.7,1242.0
4371.0,73.0,72.85,771.0
4414.0,74.0,73.56666666666666,814.0
4448.0,75.0,74.13333333333334,848.0
4468.0,76.0,74.46666666666667,868.0
4524.0,77.0,75.4,924.0
4619.0,78.0,76.98333333333333,1019.0
4674.0,79.0,77.9,1074.0
4723.0,80.0,78.71666666666667,1123.0
4833.0,81.0,80.55,1233.0
4951.0,82.0,82.51666666666667,1351.0
4981.0,83.0,83.01666666666667,1381.0
5022.0,84.0,83.7,1422.0
5112.0,85.0,85.2,912.0
5237.0,86.0,87.28333333333333,1037.0
5280.0,87.0,88.0,1080.0
5312.0,88.0,88.53333333333333,1112.0
5361.0,89.0,89.35,1161.0
5443.0,90.0,90.71666666666667,1243.0
5522.0,91.0,92.03333333333333,1322.0
5573.0,92.0,92.88333333333334,1373.0
5623.0,93.0,93.71666666666667,1423.0
5674.0,94.0,94.56666666666666,1474.0
5773.0,95.0,96.21666666666667,1573.0
5811.0,96.0,96.85,1611.0
5835.0,97.0,97.25,1035.0
5879.0,98.0,97.98333333333333,1079.0
5974.0,99.0,99.56666666666666,1174.0
6006.0,100.0,100.1,1206.0
6030.0,101.0,100.5,1230.0
6063.0,102.0,101.05,1263.0
6102.0,103.0,101.7,1302.0
6143.0,104.0,102.38333333333334,1343.0
6191.0,105.0,103.18333333333334,1391.0
6354.0,106.0,105.9,1554.0
6390.0,107.0,106.5,1590.0
6449.0,108.0,107.48333333333333,1649.0
6476.0,109.0,107.93333333333334,1076.0
6563.0,110.0,109.38333333333334,1163.0
6652.0,111.0,110.86666666666666,1252.0
6747.0,112.0,112.45,1347.0
6813.0,113.0,113.55,1413.0
6847.0,114.0,114.11666666666666,1447.0
6883.0,115.0,114.71666666666667,1483.0
6924.0,116.0,115.4,1524.0
7142.0,117.0,119.03333333333333,1742.0
7224.0,118.0,120.4,1824.0
7274.0,119.0,121.23333333333333,1874.0
7337.0,120.0,122.28333333333333,1937.0
7361.0,121.0,122.68333333333334,1361.0
7447.0,122.0,124.11666666666666,1447.0
7521.0,123.0,125.35,1521.0
7560.0,124.0,126.0,1560.0
7637.0,125.0,127.28333333333333,1637.0
7690.0,126.0,128.16666666666666,1690.0
7833.0,127.0,130.55,1833.0
7881.0,128.0,131.35,1881.0
7944.0,129.0,132.4,1944.0
7949.0,130.0,132.48333333333332,1949.0
7986.0,131.0,133.1,1986.0
8039.0,132.0,133.98333333333332,2039.0
8087.0,133.0,134.78333333333333,1487.0
8134.0,134.0,135.56666666666666,1534.0
8221.0,135.0,137.01666666666668,1621.0
8260.0,136.0,137.66666666666666,1660.0
8298.0,137.0,138.3,1698.0
8407.0,138.0,140.11666666666667,1807.0
8444.0,139.0,140.73333333333332,1844.0
8469.0,140.0,141.15,1869.0
8500.0,141.0,141.66666666666666,1900.0
8537.0,142.0,142.28333333333333,1937.0
8568.0,143.0,142.8,1968.0
8589.0,144.0,143.15,1989.0
8665.0,145.0,144.41666666666666,1465.0
8732.0,146.0,145.53333333333333,1532.0
8735.0,147.0,145.58333333333334,1535.0
8778.0,148.0,146.3,1578.0
8850.0,149.0,147.5,1650.0
8899.0,150.0,148.31666666666666,1699.0
8934.0,151.0,148.9,1734.0
8988.0,152.0,149.8,1788.0
9047.0,153.0,150.78333333333333,1847.0
9080.0,154.0,151.33333333333334,1880.0
9112.0,155.0,151.86666666666667,1912.0
9222.0,156.0,153.7,2022.0
9243.0,157.0,154.05,1443.0
9275.0,158.0,154.58333333333334,1475.0
9311.0,159.0,155.18333333333334,1511.0
9328.0,160.0,155.46666666666667,1528.0
9404.0,161.0,156.73333333333332,1604.0
9431.0,162.0,157.18333333333334,1631.0
9469.0,163.0,157.81666666666666,1669.0
9571.0,164.0,159.51666666666668,1771.0
9621.0,165.0,160.35,1821.0
9711.0,166.0,161.85,1911.0
9747.0,167.0,162.45,1947.0
9783.0,168.0,163.05,1983.0
9957.0,169.0,165.95,1557.0
9979.0,170.0,166.31666666666666,1579.0
10030.0,171.0,167.16666666666666,1630.0
10064.0,172.0,167.73333333333332,1664.0
10126.0,173.0,168.76666666666668,1726.0
10179.0,174.0,169.65,1779.0
10389.0,175.0,173.15,1989.0
10432.0,176.0,173.86666666666667,2032.0
10478.0,177.0,174.63333333333333,2078.0
10518.0,178.0,175.3,2118.0
10588.0,179.0,176.46666666666667,2188.0
10620.0,180.0,177.0,2220.0
10646.0,181.0,177.43333333333334,1646.0
10682.0,182.0,178.03333333333333,1682.0
10798.0,183.0,179.96666666666667,1798.0
10825.0,184.0,180.41666666666666,1825.0
10862.0,185.0,181.03333333333333,1862.0
10898.0,186.0,181.63333333333333,1898.0
10902.0,187.0,181.7,1902.0
11027.0,188.0,183.78333333333333,2027.0
11071.0,189.0,184.51666666666668,2071.0
11252.0,190.0,187.53333333333333,2252.0
11306.0,191.0,188.43333333333334,2306.0
11435.0,192.0,190.58333333333334,2435.0
11500.0,193.0,191.66666666666666,1900.0
11549.0,194.0,192.48333333333332,1949.0
11764.0,195.0,196.06666666666666,2164.0
11801.0,196.0,196.68333333333334,2201.0
11830.0,197.0,197.16666666666666,2230.0
11868.0,198.0,197.8,2268.0
11923.0,199.0,198.71666666666667,2323.0
12028.0,200.0,200.46666666666667,2428.0
12103.0,201.0,201.71666666666667,2503.0
12133.0,202.0,202.21666666666667,2533.0
12227.0,203.0,203.78333333333333,2627.0
12265.0,204.0,204.41666666666666,2665.0
12289.0,205.0,204.81666666666666,2089.0
12290.0,206.0,204.83333333333334,2090.0
12467.0,207.0,207.78333333333333,2267.0
12494.0,208.0,208.23333333333332,2294.0
12542.0,209.0,209.03333333333333,2342.0
12587.0,210.0,209.78333333333333,2387.0
12589.0,211.0,209.81666666666666,2389.0
12624.0,212.0,210.4,2424.0
12753.0,213.0,212.55,2553.0
12817.0,214.0,213.61666666666667,2617.0
12871.0,215.0,214.51666666666668,2671.0
12918.0,216.0,215.3,2718.0
13079.0,217.0,217.98333333333332,2279.0
13128.0,218.0,218.8,2328.0
13194.0,219.0,219.9,2394.0
